guest asm,,,,,,,,,,operand encoding (Intel syntax),,,,,,operand types (Intel syntax),,,,,host asm,,,,
name,opcode,vec pfx,prefix,escape,width,dst_w,tuple,mask,misc,E_class,dst_e,src1_e,src2_e,src3_e,src4_e,dst_t,src1_t,src2_t,src3_t,src4_t,asm-> IR function,IR,mult,param,IR->asm
VPMOVUSDW,0x13,EVEX,PFX_F3,ESC_0F38,W0,W_16,HalfMem,MASK_FULL,,E6,rmE,rG,,,,Ity_V256,Ity_V512,,,,m_I32U_to_I16U_sat,Iop_INVALID,16,,
VUNPCKLPS,0x14,EVEX,PFX_NA,ESC_0F,W0,W_32,FullVector,MASK_FULL,,E4NF,rG,rmE,rV,,,Ity_V128,Ity_V128,Ity_V128,,,math_UNPCKxPS_128,Iop_INVALID,,0,
VUNPCKLPS,0x14,EVEX,PFX_NA,ESC_0F,W0,W_32,FullVector,MASK_FULL,,E4NF,rG,rmE,rV,,,Ity_V256,Ity_V256,Ity_V256,,,math_UNPCKxPS_256,Iop_INVALID,,0,
VUNPCKLPS,0x14,EVEX,PFX_NA,ESC_0F,W0,W_32,FullVector,MASK_FULL,,E4NF,rG,rmE,rV,,,Ity_V512,Ity_V512,Ity_V512,,,math_UNPCKxPS_256,Iop_INVALID,2,0,
VUNPCKLPD,0x14,EVEX,PFX_66,ESC_0F,W1,W_64,FullVector,MASK_FULL,,E4NF,rG,rmE,rV,,,Ity_V128,Ity_V128,Ity_V128,,,math_UNPCKxPD_128,Iop_INVALID,,0,
VUNPCKLPD,0x14,EVEX,PFX_66,ESC_0F,W1,W_64,FullVector,MASK_FULL,,E4NF,rG,rmE,rV,,,Ity_V256,Ity_V256,Ity_V256,,,math_UNPCKxPD_256,Iop_INVALID,,0,
VUNPCKLPD,0x14,EVEX,PFX_66,ESC_0F,W1,W_64,FullVector,MASK_FULL,,E4NF,rG,rmE,rV,,,Ity_V512,Ity_V512,Ity_V512,,,math_UNPCKxPD_256,Iop_INVALID,2,0,
VPEXTRB,0x14,EVEX,PFX_66,ESC_0F3A,WIG,W_8,Tuple1Scalar,MASK_NONE,,E9NF,imE,rG,imm8,,,Ity_I8,Ity_V128,Ity_I8,,,NULL,Iop_INVALID,,,
VPRORVD,0x14,EVEX,PFX_66,ESC_0F38,W0,W_32,FullVector,MASK_FULL,,E4,rG,rV,rmE,,,Ity_V128,Ity_V128,Ity_V128,,,m_RotateRight32,Iop_INVALID,4,,
VPRORVD,0x14,EVEX,PFX_66,ESC_0F38,W0,W_32,FullVector,MASK_FULL,,E4,rG,rV,rmE,,,Ity_V256,Ity_V256,Ity_V256,,,m_RotateRight32,Iop_INVALID,8,,
VPRORVD,0x14,EVEX,PFX_66,ESC_0F38,W0,W_32,FullVector,MASK_FULL,,E4,rG,rV,rmE,,,Ity_V512,Ity_V512,Ity_V512,,,m_RotateRight32,Iop_INVALID,16,,
VPRORVQ,0x14,EVEX,PFX_66,ESC_0F38,W1,W_64,FullVector,MASK_FULL,,E4,rG,rV,rmE,,,Ity_V128,Ity_V128,Ity_V128,,,m_RotateRight64,Iop_INVALID,2,,
VPRORVQ,0x14,EVEX,PFX_66,ESC_0F38,W1,W_64,FullVector,MASK_FULL,,E4,rG,rV,rmE,,,Ity_V256,Ity_V256,Ity_V256,,,m_RotateRight64,Iop_INVALID,4,,
VPRORVQ,0x14,EVEX,PFX_66,ESC_0F38,W1,W_64,FullVector,MASK_FULL,,E4,rG,rV,rmE,,,Ity_V512,Ity_V512,Ity_V512,,,m_RotateRight64,Iop_INVALID,8,,
VPMOVUSQW,0x14,EVEX,PFX_F3,ESC_0F38,W0,W_16,QuarterMem,MASK_FULL,,E6,rmE,rG,,,,Ity_I32,Ity_V128,,,,m_I64U_to_I16U_sat,Iop_INVALID,2,,
